t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784916000000,1170.100000,1543.500000,0.319118,-0.000096,-0.000000,107.100000,-6.876515,100.223485,66.264599
1784919600000,1168.800000,1546.000000,0.322724,-0.000270,0.000003,103.300000,-6.555241,96.744759,69.743326
1784923200000,1172.200000,1553.700000,0.325456,-0.000060,0.000004,99.000000,-6.478727,92.521273,73.966811
1784926800000,1161.400000,1547.600000,0.332530,0.000014,-0.000002,94.300000,-6.497836,87.802164,78.685920
1784930400000,1166.500000,1551.900000,0.330390,-0.000109,-0.000011,95.100000,-6.388887,88.711113,77.776971
1784934000000,1165.500000,1543.800000,0.324582,0.000006,-0.000008,102.200000,-6.409238,95.790762,70.697323
1784937600000,1171.800000,1550.400000,0.323093,-0.000078,0.000006,101.900000,-6.308715,95.591285,70.896799
1784941200000,1170.200000,1549.800000,0.324389,0.000132,-0.000007,100.900000,-6.473560,94.426440,72.061644
1784944800000,1183.900000,1561.300000,0.318777,0.000069,0.000046,103.100000,-6.483304,96.616696,69.871389
1784948400000,1187.700000,1564.300000,0.317083,0.000125,0.000114,103.900000,-6.454217,97.445783,69.042302
1784952000000,1188.200000,1570.300000,0.321579,0.000209,0.000128,98.400000,-6.502255,91.897745,74.590340
1784955600000,1189.700000,1569.600000,0.319324,0.000135,0.000137,100.600000,-6.447863,94.152137,72.335947
1784959200000,1191.700000,1573.700000,0.320550,-0.000062,0.000000,98.500000,-6.372649,92.127351,74.360733
1784962800000,1189.600000,1572.400000,0.321789,0.000081,0.000046,97.700000,-6.396647,91.303353,75.184731
1784966400000,1191.600000,1572.600000,0.319738,-0.000007,0.000006,99.500000,-6.378465,93.121535,73.366549
1784970000000,1194.100000,1573.200000,0.317478,0.000018,0.000006,101.400000,-6.389674,95.010326,71.477759
